name,awards,nominations,imdb_url
Meryl Streep,3,21,https://www.imdb.com/name/nm0000658/awards?ref_=nm_awd
Cate Blanchett,2,6,https://www.imdb.com/name/nm0000949/awards?ref_=nm_awd
Leonardo di Caprio,1,6,https://www.imdb.com/name/nm0000138/awards?ref_=nm_awd
Jennifer Lawrence,1,4,https://www.imdb.com/name/nm2225369/awards?ref_=nm_awd
Jonah Hill,0,2,https://www.imdb.com/name/nm1706767/awards?ref_=nm_awd
Mark Rylance,1,1,https://www.imdb.com/name/nm0753314/awards?ref_=nm_awd
Timothée Chalamet,0,1,https://www.imdb.com/name/nm3154303/awards?ref_=nm_awd
